Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,10.3,veh0,12.13,0,-8,90
0,10.4,SmartAlec,100,0,-2,90
0,10.4,DumbAlec,100,0,-2,90
0,10.4,veh1,279.83,0,48.9232,26.5638
0,10.4,veh2,385.337,0,139.55,143.13
0,10.4,veh0,12.16,0,-8,90
0,10.5,SmartAlec,100,0,-2,90
0,10.5,DumbAlec,100,0,-2,90
0,10.5,veh1,280.291,0,49.8445,26.5638
0,10.5,veh2,385.949,0,138.734,143.13
0,10.5,veh0,12.2,0,-8,90
0,10.6,SmartAlec,100,0,-2,90
0,10.6,DumbAlec,100,0,-2,90
0,10.6,veh1,280.756,0,50.7747,26.5638
0,10.6,veh2,386.567,0,137.91,143.13
0,10.6,veh0,12.25,0,-8,90
0,10.7,SmartAlec,100,0,-2,90
0,10.7,DumbAlec,100,0,-2,90
0,10.7,veh1,281.226,0,51.7139,26.5638
0,10.7,veh2,387.191,0,137.078,143.13
0,10.7,veh0,12.31,0,-8,90
0,10.8,SmartAlec,100,0,-2,90
0,10.8,DumbAlec,100,0,-2,90
0,10.8,veh1,281.7,0,52.662,26.5638
0,10.8,veh2,387.821,0,136.238,143.13
0,10.8,veh0,12.38,0,-8,90
0,10.9,SmartAlec,100,0,-2,90
0,10.9,DumbAlec,100,0,-2,90
0,10.9,veh1,282.178,0,53.619,26.5638
0,10.9,veh2,388.458,0,135.39,143.13
0,10.9,veh0,12.46,0,-8,90
0,11,SmartAlec,100,0,-2,90
0,11,DumbAlec,100,0,-2,90
0,11,veh1,282.661,0,54.585,26.5638
0,11,veh2,389.1,0,134.534,143.13
0,11,veh0,12.55,0,-8,90
0,11.1,SmartAlec,100,0,-2,90
0,11.1,DumbAlec,100,0,-2,90
0,11.1,veh1,283.148,0,55.5599,26.5638
0,11.1,veh2,389.748,0,133.67,143.13
0,11.1,veh0,12.65,0,-8,90
0,11.2,SmartAlec,100,0,-2,90
0,11.2,DumbAlec,100,0,-2,90
0,11.2,veh1,283.64,0,56.5438,26.5638
0,11.2,veh2,390.402,0,132.798,143.13
0,11.2,veh0,12.75,0,-8,90
0,11.3,SmartAlec,100,0,-2,90
0,11.3,DumbAlec,100,0,-2,90
0,11.3,veh1,284.137,0,57.5366,26.5638
0,11.3,veh2,391.062,0,131.918,143.13
0,11.3,veh0,12.85,0,-8,90
0,11.4,SmartAlec,100,0,-2,90
0,11.4,DumbAlec,100,0,-2,90
0,11.4,veh1,284.638,0,58.5384,26.5638
0,11.4,veh2,391.728,0,131.03,143.13
0,11.4,veh0,12.95,0,-8,90
0,11.5,SmartAlec,100,0,-2,90
0,11.5,DumbAlec,100,0,-2,90
0,11.5,veh1,285.143,0,59.5491,26.5638
0,11.5,veh2,392.4,0,130.134,143.13
0,11.5,veh0,13.05,0,-8,90
0,11.6,SmartAlec,100,0,-2,90
0,11.6,DumbAlec,100,0,-2,90
0,11.6,veh1,285.653,0,60.5688,26.5638
0,11.6,veh2,393.078,0,129.23,143.13
0,11.6,veh0,13.15,0,-8,90
0,11.7,SmartAlec,100,0,-2,90
0,11.7,DumbAlec,100,0,-2,90
0,11.7,veh1,286.167,0,61.5974,26.5638
0,11.7,veh2,393.762,0,128.318,143.13
0,11.7,veh0,13.25,0,-8,90
0,11.8,SmartAlec,100,0,-2,90
0,11.8,DumbAlec,100,0,-2,90
0,11.8,veh1,286.686,0,62.635,26.5638
0,11.8,veh2,394.452,0,127.398,143.13
0,11.8,veh0,13.35,0,-8,90
0,11.9,SmartAlec,100,0,-2,90
0,11.9,DumbAlec,100,0,-2,90
0,11.9,veh1,287.209,0,63.6814,26.5638
0,11.9,veh2,395.148,0,126.47,143.13
0,11.9,veh0,13.45,0,-8,90
0,12,SmartAlec,100,0,-2,90
0,12,DumbAlec,100,0,-2,90
0,12,veh1,287.737,0,64.7369,26.5638
0,12,veh2,395.85,0,125.534,143.13
0,12,veh0,13.55,0,-8,90
0,12.1,SmartAlec,100,0,-2,90
0,12.1,DumbAlec,100,0,-2,90
0,12.1,veh1,288.269,0,65.8013,26.5638
0,12.1,veh2,396.558,0,124.59,143.13
0,12.1,veh0,13.65,0,-8,90
0,12.2,SmartAlec,100,0,-2,90
0,12.2,DumbAlec,100,0,-2,90
0,12.2,veh1,288.805,0,66.8746,26.5638
0,12.2,veh2,397.272,0,123.637,143.13
0,12.2,veh0,13.75,0,-8,90
0,12.3,SmartAlec,100,0,-2,90
0,12.3,DumbAlec,100,0,-2,90
0,12.3,veh1,289.347,0,67.9569,26.5638
0,12.3,veh2,397.992,0,122.677,143.13
0,12.3,veh0,13.85,0,-8,90
0,12.4,SmartAlec,100,0,-2,90
0,12.4,DumbAlec,100,0,-2,90
0,12.4,veh1,289.892,0,69.0481,26.5638
0,12.4,veh2,398.718,0,121.709,143.13
0,12.4,veh0,13.95,0,-8,90
